count,example_snippets,name,top_terms,topic_id
9676,"Ein Freund von mir wurde heute, aufgrund akuter Kreislaufprobleme, in die Notaufnahme Bad Pyrmont leingeliefert. Ich erzähle seine Erfahrungen. Was absolut positiv auffiel. Fast keine Wartezeit. Nadel und Entnahme für das große Blutbild wurde von ein || Ich kam gestern als Notfall hier an, auf hohem fachlichen Niveau fand eine gründliche Sichtung ohne Hektik statt, danach ging es auf Station, saubere helle und angenehme Räume und überaus engagiertes Pflegepersonal die häufig nach mir sahen und fragt || Außer Station 5 ist es nur ein Stern Wert. Unsauber wo man nur hinschaut. Man bekommt dort sogar vertrocknete Schlangengurken Scheiben. Die Schwestern auf Station 1 gehen nicht auf dich ein und verlassen mit Schulterzucken das Zimmer ohne einen zu he",-1_und_ich_die_der,"und, ich, die, der, das, sehr, in, war, nicht, ist, es, man",-1
1099,"Meine 7jährige Tochter hatte ihre erste kleine OP und wurde wie eine Prinzessin behandelt. Dank des umsichtigen und freundlichen Personals wurde ihr die Angst vor dem Eingriff genommen und sie blickt nun auf diese Erfahrung stolz zurück. Ein besonder || Ich war am 2.02 zur Entbindung im Krankenhaus Schaumburg. Ich war sehr begeistert von Ärzten und Krankenpflegerin/Schwestern! Ganz tolle und liebe Menschen. Mädels macht weiter so. Ihr seid toll. Man ist bei euch sehr gut aufgehoben. Im Kreissaal gan || Ein schönes Krankenhaus mit super nettem Personal! Wir waren dort zur Geburt unserer beiden Kinder und es war jedes mal einfach nur schön! Kein Stress, keine Massenabfertigung und total liebes, ausgeglichenes Personal sowohl im Kreißsaal, im Op und a",0_wir_und_geburt_die,"wir, und, geburt, die, uns, hebammen, waren, sehr, haben, ich, tochter, war",0
1073,"Die Unfallchirurgie ist ein Witz. Die Ärzte kennen die Werte ihrer Patienten nicht und geben keinerlei Auskünfte über den geplanten Verlauf oder die Entlassung. Zusätzlich werden angeordnete Maßnahmen wie Physio oder Ähnliches nicht weitergeführt. We || Was auffällig war, dass innerhalb der Belegschaft eine durchaus positive Stimmung herrschte. Es wurde gelacht und gescherzt. Diese Stimmung überträgt sich auf den Patienten für den sich auch Zeit genommen wird. Das Personal lässt sich auch nicht von  || Musste mir gehäuft Beschwerden über das Personal und auch das schlechte Essen anhören. Hinzu kommt das man aufgefordert wird ins Bad zugehen obwohl man das Bein nur 20% belasten darf. Dies als Privatpatient . Telefon und Fernsehen funktionieren nicht",1_krankenhaus_nicht_man_ist,"krankenhaus, nicht, man, ist, patienten, die, das, es, und, wird, zu, der",1
716,"Bin seit Donnerstag morgen hier - heute ist Sonntag. Wurde vom Hausarzt eingewiesen mit akutem Hexenschuss und (!) unklarem akuten Abdomen. Das ganze als chronischer Schmerz patient. Der aufnehmende Arzt hatte große Probleme mich und mein Problem zu  || 28.12.2025 - kam ich gegen 23 Uhr in die Notaufnahme mit Kaffeesatzartigem Erbrechen und keinen Stuhlgang von 4 Tagen. Ich kam schnell dran, obwohl die Notaufnahme sehr voll war. Meine Untersuchung war simpel... Blutabnahme und EKG... ich bekam etwas || Ich kam um 1 Uhr nachts wegen Atemnot ins Krankenhaus, ich konnte kaum atmen. Die Schwestern sagte mir, ich sei kein Notfall und müsse bis morgen früh um 9 Uhr auf den Stühlen warten. Leider habe ich mich nicht ernst genommen gefühlt. Es gab keine we",2_ich_wurde_mir_schmerzen,"ich, wurde, mir, schmerzen, nach, nicht, und, der, mit, die, in, mich",2
412,"Gute Erfahrungen nach kompletter Schilddrüsen Entfernung. Das Personal der Station 4 ist stets bemüht und sehr höflich in allen Belangen gewesen. Auch der Austausch mit den Ärzten ist ohne Probleme möglich gewesen. Großen Dank an das Ärzte Team der C || Ich bin heute am Finger operiert worden. Da ich sehr schlechte Venen habe, war bei allen vorangehenden OP's das legen der Zugänge immer eine Katastrophe. Diesmal möchte ich der Anästhesie, im besonderen Dr Tübben ein großes Dankeschön hier ausspreche || Ich bin in den letzten zwei Monaten nach einem Fahrradsturz zweimal im Bathildiskrankenhaus in Bad Pyrmont an meiner rechten Hand operiert worden. Der Aufenthalt bleibt mir trotz der Operationen in positiver Erinnerung, weil mich das Team der Anästhe",3_dr_mich_dank_und,"dr, mich, dank, und, ich, team, sehr, an, für, der, gut, die",3
401,Meine Tochter wurde am 21.10.22 notfallmässig mit unbekannter Diagnose in das Klinikum eingeliefert. Es wurde sofort reagiert und ein lebensbedrohlicher Zustand (akute Sepsis) festgestellt. Alle notwendigen Maßnahmen wurden unmittelbar eingeleitet un || Habe selbst in dem Klinikum gelegen und habe gute Erfahrungen gemacht. Meine Mutter allerdings war dort öfters und machte mehr Erfahrungen als ich . Auch sie war sehr zufrieden. Allerdings der Notarzt der wohl nicht vom Klinikum kam war sehr unfreund || Mein Kind 12 Jahre alt. Würde mit Blinddarm eingeliefert . Weil Höxter voll war leider. Wir haben seid ihrer OP mit keinem Arzt gesprochen. Hätte ich nicht zufällig mit meiner Tochter telefoniert wüsste ich nicht Mal was von einer OP. Haben nur mit d,4_wir_kind_sohn_mit,"wir, kind, sohn, mit, tochter, nicht, die, und, der, es, das, uns",4
315,"Der Wartesaal ist leer, trotzdem sitzt man und wartet und wartet! Wenn man an die Scheibe klopft um sich bemerkbar zu machen, erntet man genervte Blicke und den Kommentar „Ja gleich“! Nach weiteren 30 Minuten Wartezeit ergreift man die Initiative und || Bei allem Verständnis das wenn Personal fehlt, man Wartezeit mitbringt. Aber 6,5 h finde ich etwas heftig lange!! Kann man da nicht bescheid bekommen, das man später noch mal wieder kommen soll? || Die Wartezeit trotz Termin in der ambulanten ist echt zu viel.",5_stunden_wartezeit_lange_termin,"stunden, wartezeit, lange, termin, warten, wartezeiten, man, dann, notaufnahme, uhr, hier, ist",5
279,"Unfassbar! Meine Oma war in der Geriatrie der M&I wegen eines Unterschenkelhalsbruchs und wurde aufgrund Atemnot und Herzrasen ins Bathildiskrankenhaus verlegt. Dies stellt sich aber als Fehlalarm herraus. Trotzdem bestand der behandelnde auf ein bel || Einfach gestorben... (würde gerne Keinen Stern geben) Als ich von der Erkrankung meine Oma hörte, war ich sofort ins Krankenhaus zu ihr gereist... dort musste die Familie und ich dann mitansehen, wie sie innerhalb weniger Tage viel zu jung starb. Die || Meine Mutter war hier zur Behandlung, es gab leider wenig Chancen auf eine Heilung sie ist dort verstorben dennoch habe ich es so empfunden das man sich dort gut um sie gekümmert hatte. Auch das Gespräch mit dem Arzt in der er mich über ihre schlecht",6_mutter_sie_meine_wurde,"mutter, sie, meine, wurde, nicht, hat, und, in, der, die, wir, ihr",6
257,"Bin heute ambulant urologisch operiert worden. Von dem gesamten Team vor und nach der OP habe ich mich sehr gut betreut gefühlt. Einen Sternabzug gibt es für die Organisation in der Patientenaufnahme, für die die ebenfalls sehr netten Mitarbeiter nat || Eigentlich eine gute Behandlung dort. Nur das man trotz Termin jedes Mal 3-4 Stunden warten muss. Bei Op Termin 2 std geht gar nicht. Warum vergibt man dann einen Termin? Dann wird nach einer ambulanten OP kein Bericht mitgegeben. Somit wusste der we || Die Ärzte brauchen mehr als fünf Tage um etwas gescheit hin zu bekommen und keiner weiß von irgendetwas. Man kann dort auch nichts in Erfahrung bringen, da man immer wieder auf's neue vertröstet wird. Zu dem wird die Visite wohl auch nicht mehr gemac",7_termin_stunden_warten_uhr,"termin, stunden, warten, uhr, um, dann, der, wartezeit, ich, nicht, einen, in",7
249,"Eine ganz liebe Freundin wurde wegen zweier Schlaganfälle in diese Klinik eingeliefert. Sie selbst und ihre Angehörigen haben eine Betreuung erfahren, von der man in anderen Kliniken in Deutschland nur träumen kann. Ob Ärzte oder Schwestern, alle hab || Das Personal auf der Station war wirklich klasse! Die medizinische Versorgung ebenso!^ Der Arzt in der Notaufnahme hatte massive Probleme mit der deutschen Sprache und nahm diverse Dinge somit falsch in die Akte auf. Das zeigte sich leider erst späte || Ich halte dieses Krankenhaus bzgl. Pflegekräften, Assistenzärzt:innen und Chirurgie für mehr als fähig. Handwerklich ist das Krankenhaus wirklich gut und obwohl viele sich wegen den ganzen ausländischen Ärzten aufregen, geben diese sich wirklich Mühe",8_deutsch_deutschland_in_nicht,"deutsch, deutschland, in, nicht, man, krankenhaus, die, ist, und, das, der, mit",8
244,Einmal und nie wieder! || Das AKH kann man in 3 Stichpunkten zusammen fassen: -fehlendes Fachwissen -Unfreundlichkeit -Desinteresse || Nie wieder.,9_unfreundlich_schlecht_einfach_nie,"unfreundlich, schlecht, einfach, nie, nicht, wieder, nur, worte, empfehlen, schmutz, keine, ist",9
212,"Nur nettes Personal. Traumhafte Aussicht. Gutes Fernsehgerät. || Super nette, profisionelle und verantwortungsbewusste Personal! || Ich musste zum Gelenkzentrum. Bis jetzt alles super Top 👍. Egal welches Personal alles suuuper freundlich und nett . Man fühlt sich gut aufgehoben …",10_personal_nettes_sehr_freundlich,"personal, nettes, sehr, freundlich, freundliches, kompetentes, hilfsbereit, und, super, mitarbeiter, kompetent, gute",10
184,Die Ärzte und das Pflegepersonal sind super nett || Das AKH bzw. die Qualität der dort eingesetzten Ärzte ist unterirdisch. Das Pflegepersonal ist sehr gut. || Sehr sauber und gute Ärzte,11_ärzte_sehr_klinik_personal,"ärzte, sehr, klinik, personal, gute, super, und, pflegepersonal, nettes, kompetente, freundlich, sind",11
180,"Mein Stiefvater 86 Jahre alt wurde mit starken Schmerzen mit dem Krankenwagen um 21.00 eingeliefert. In der Nacht um 1.30 wurde er trotz seiner starken Schmerzen und Benommenheit mit dem Taxi nach Hause geschickt, ohne die Angehörigen zu informieren, || Einfach nur begeistert. Ich musste mit meinen Vater in die Notaufnahme da er sich vor schmerzen in der Schulter nicht mehr bewegen konnte. Nach einer Stunden waren wir wieder zuhause. Die Schwestern und Pfleger waren einfach nur unfassbar nett und ko || Die Klinik ist das reinste Desaster. Die Hilferufe meines Vaters ihn während der Corona Pandemie dort rauszuholen, DA SICH NICHT UM IHN GEKÜMMERT wird, werden nun nach seinem Tod gnadenlos runter gespielt. Diese Klinik ist NICHT zu empfehlen. Rechtli",12_vater_er_mein_nicht,"vater, er, mein, nicht, wurde, ihn, mit, ihm, ist, wir, der, in",12
