count,example_snippets,name,top_terms,topic_id
9030,"Ein Freund von mir wurde heute, aufgrund akuter Kreislaufprobleme, in die Notaufnahme Bad Pyrmont leingeliefert. Ich erzähle seine Erfahrungen. Was absolut positiv auffiel. Fast keine Wartezeit. Nadel und Entnahme für das große Blutbild wurde von ein || Ich kam gestern als Notfall hier an, auf hohem fachlichen Niveau fand eine gründliche Sichtung ohne Hektik statt, danach ging es auf Station, saubere helle und angenehme Räume und überaus engagiertes Pflegepersonal die häufig nach mir sahen und fragt || Außer Station 5 ist es nur ein Stern Wert. Unsauber wo man nur hinschaut. Man bekommt dort sogar vertrocknete Schlangengurken Scheiben. Die Schwestern auf Station 1 gehen nicht auf dich ein und verlassen mit Schulterzucken das Zimmer ohne einen zu he",-1_dieser klinik_der patient_ärztliche_ambulanz,"dieser klinik, der patient, ärztliche, ambulanz, hausarzt, therapie, krankenhäusern, nur empfehlen, bedanken, gesund",-1
1099,"Meine 7jährige Tochter hatte ihre erste kleine OP und wurde wie eine Prinzessin behandelt. Dank des umsichtigen und freundlichen Personals wurde ihr die Angst vor dem Eingriff genommen und sie blickt nun auf diese Erfahrung stolz zurück. Ein besonder || Ich war am 2.02 zur Entbindung im Krankenhaus Schaumburg. Ich war sehr begeistert von Ärzten und Krankenpflegerin/Schwestern! Ganz tolle und liebe Menschen. Mädels macht weiter so. Ihr seid toll. Man ist bei euch sehr gut aufgehoben. Im Kreissaal gan || Ein schönes Krankenhaus mit super nettem Personal! Wir waren dort zur Geburt unserer beiden Kinder und es war jedes mal einfach nur schön! Kein Stress, keine Massenabfertigung und total liebes, ausgeglichenes Personal sowohl im Kreißsaal, im Op und a",0_kinderklinik_sehr wohl_dankbar_waren mit,"kinderklinik, sehr wohl, dankbar, waren mit, hebammen waren, im kreißsaal, welt gebracht, wohl gefühlt, einfühlsam, wochenbettstation",0
735,"Bin seit Donnerstag morgen hier - heute ist Sonntag. Wurde vom Hausarzt eingewiesen mit akutem Hexenschuss und (!) unklarem akuten Abdomen. Das ganze als chronischer Schmerz patient. Der aufnehmende Arzt hatte große Probleme mich und mein Problem zu  || 28.12.2025 - kam ich gegen 23 Uhr in die Notaufnahme mit Kaffeesatzartigem Erbrechen und keinen Stuhlgang von 4 Tagen. Ich kam schnell dran, obwohl die Notaufnahme sehr voll war. Meine Untersuchung war simpel... Blutabnahme und EKG... ich bekam etwas || Ich kam um 1 Uhr nachts wegen Atemnot ins Krankenhaus, ich konnte kaum atmen. Die Schwestern sagte mir, ich sei kein Notfall und müsse bis morgen früh um 9 Uhr auf den Stühlen warten. Leider habe ich mich nicht ernst genommen gefühlt. Es gab keine we",1_arzt hat_zum hausarzt_meinem hausarzt_hausarzt,"arzt hat, zum hausarzt, meinem hausarzt, hausarzt, operiert werden, ultraschall, schmerzmittel, mit schmerzen, starken schmerzen, starke schmerzen",1
388,Finde es ganz schlimm das man so in einem Krankenhaus behandelt wird!! Das sie Insolvent sind wird wohl nicht einfach so kommen sondern weil man so nicht mit menschen umgehen kann! 4 Termine 3 mal davon wurde ich nur respektlos angemacht !! Ich warte || Dieses Krankenhaus sollte geschlossen werden nur unhöfliche leute sind da drine || Halt ein Krankenhaus,2_legen_schlechteste klinik_krankenhaus unfreundlich_krankenhaus gehen,"legen, schlechteste klinik, krankenhaus unfreundlich, krankenhaus gehen, krankenhaus überhaupt, erlebt habe, krankenhaus zu, krankenhaus auf, krankenhaus in, krankenhäuser die",2
370,"Mein Mann kam aus der Reha Klinik auf die Intensivstation, Ärzte, Schwestern und Behandlung Top, nichts einzuwenden!! Dafür eigentlich 5 Sterne. Nach der Intensivstation in ein ""Komfortzimmer"" und das ist echt ein Witz!! 2- Bett Zimmer ok. Fernseher  || Ganz furchtbar...der Notarzt sagt er kann nichts tun und als man trotzdem ins Krankenhaus geht wird ein Herzinfarkt festgestellt und es wird sofort operiert. Also so einen inkompetent Arzt zu beschäftigen ist das aller letzte. Leider muß man ja einen || Ich würde am liebsten 0 Sterne geben! Man wird nicht ernst genommen und auch nicht richtig untersucht. Die Krankenschwester und der Arzt schienen genervt zu sein, man hat sich sehr unwohl, hilflos und verloren gefühlt. Ich würde dieses Krankenhaus ni",3_stern geht_stern geben_der sanitäter_stern verdient,"stern geht, stern geben, der sanitäter, stern verdient, viel leider, leider muss, ein stern, stern weil, noch zu, eine stern",3
369,"Der Wartesaal ist leer, trotzdem sitzt man und wartet und wartet! Wenn man an die Scheibe klopft um sich bemerkbar zu machen, erntet man genervte Blicke und den Kommentar „Ja gleich“! Nach weiteren 30 Minuten Wartezeit ergreift man die Initiative und || Bei allem Verständnis das wenn Personal fehlt, man Wartezeit mitbringt. Aber 6,5 h finde ich etwas heftig lange!! Kann man da nicht bescheid bekommen, das man später noch mal wieder kommen soll? || Die Wartezeit trotz Termin in der ambulanten ist echt zu viel.",4_std gewartet_im wartebereich_wartezeiten bei_wartezeit in,"std gewartet, im wartebereich, wartezeiten bei, wartezeit in, abgesagt, wartezeiten sind, wartezeit trotz, notfälle, wartebereich, stunden gewartet",4
310,"Einfach gestorben... (würde gerne Keinen Stern geben) Als ich von der Erkrankung meine Oma hörte, war ich sofort ins Krankenhaus zu ihr gereist... dort musste die Familie und ich dann mitansehen, wie sie innerhalb weniger Tage viel zu jung starb. Die || Meine Mutter war hier zur Behandlung, es gab leider wenig Chancen auf eine Heilung sie ist dort verstorben dennoch habe ich es so empfunden das man sich dort gut um sie gekümmert hatte. Auch das Gespräch mit dem Arzt in der er mich über ihre schlecht || 5 Jahre hat es gedauert, bis ich diesen Beitrag nun schreibe. Nicht zuletzt aus Gründen der Strafverfolgung, verzichte ich auf Namen. Meine Mutter war wegen Schmerzen im Arm in der Notaufnahme. Dann fiel sie (dort!) um, erlitt einen Herzinfarkt und w",5_pflegeheim_hatte sie_im rollstuhl_mutter hatte,"pflegeheim, hatte sie, im rollstuhl, mutter hatte, sie hatte, sie lag, schlaganfall, einlieferung, nachdem sie, mutter war",5
309,"Habe selbst in dem Klinikum gelegen und habe gute Erfahrungen gemacht. Meine Mutter allerdings war dort öfters und machte mehr Erfahrungen als ich . Auch sie war sehr zufrieden. Allerdings der Notarzt der wohl nicht vom Klinikum kam war sehr unfreund || 4 Tips an werdende Mamas: 1. Mehr Milch kommt nicht durch längeres Anlegen sondern durch die Häufigkeit. 20 Minuten an jeder Seite alle 2 Stunden sind viel zu viel. Wenn ihr diesem Rat der Krankenschwestern folgt, könnt ihr euch gleich eine Pumpe und || Sehr unfreundlich Mitarbeiterinnen. 4,5 Stunden gewartet am Ende würde das Kind nicht untersucht. Kamm der rede das Kind sieht mental Gut aus, obwohl Sie schmerzen hatte. Ich hoffe das der Besitzer des Krankenhauses sich irgendwann mal das ganze Bewe",6_der kinderklinik_kinderklinik_zum kinderarzt_kinderarzt,"der kinderklinik, kinderklinik, zum kinderarzt, kinderarzt, grad fieber, fieber hatte, 40 fieber, mit fieber, fieber, fieber und",6
298,"Nur nettes Personal. Traumhafte Aussicht. Gutes Fernsehgerät. || Super nette, profisionelle und verantwortungsbewusste Personal! || Ich musste zum Gelenkzentrum. Bis jetzt alles super Top 👍. Egal welches Personal alles suuuper freundlich und nett . Man fühlt sich gut aufgehoben …",7_behandelung_hilfsbereites personal_und hilfsbereites_sehr hilfsbereit,"behandelung, hilfsbereites personal, und hilfsbereites, sehr hilfsbereit, hilfsbereites, guter service, geholfen alle, freundlich hilfsbereit, einfühlsames personal, kompetentes personal",7
278,"Bin heute ambulant urologisch operiert worden. Von dem gesamten Team vor und nach der OP habe ich mich sehr gut betreut gefühlt. Einen Sternabzug gibt es für die Organisation in der Patientenaufnahme, für die die ebenfalls sehr netten Mitarbeiter nat || Eigentlich eine gute Klinik. Viel positive Resonanz im Bekanntenkreis und auch selbst gute Erfahrungen bei diversen Behandlungen gemacht. Die Wartezeiten sind allerdings bodenlos. Trotz Termin über 3 Stunden warten zu müssen erschließt sich mir nicht || Eigentlich eine gute Behandlung dort. Nur das man trotz Termin jedes Mal 3-4 Stunden warten muss. Bei Op Termin 2 std geht gar nicht. Warum vergibt man dann einen Termin? Dann wird nach einer ambulanten OP kein Bericht mitgegeben. Somit wusste der we",8_ambulanz_man freiwillig_freiwillig hier_op termin,"ambulanz, man freiwillig, freiwillig hier, op termin, wartezimmer, termin bekommen, trotz termin, nach stunden, wartebereich, eingehalten",8
270,"Ich bin in den letzten zwei Monaten nach einem Fahrradsturz zweimal im Bathildiskrankenhaus in Bad Pyrmont an meiner rechten Hand operiert worden. Der Aufenthalt bleibt mir trotz der Operationen in positiver Erinnerung, weil mich das Team der Anästhe || Am 07.06.24 wurde ich von Dr. Kebe an der rechten Hand operiert. Vielen Dank an Dr. Kebe und sein Team, für die erfolgreiche OP. Mein Dank gilt auch den Schwestern und Pflegern auf Station 5, für ihre freundliche und hilfsbereite Unterstützung. Bedan || Ein herzliches Dankeschön an die Unfallchirurgie.Meine Op ist sehr gut verlaufen kann dieses Krankenhaus nur weiter empfehlen.",9_an dr_dr reger_betreuung während_dr med,"an dr, dr reger, betreuung während, dr med, herrn dr, fr dr, frau dr, von dr, dr ertner, dr kuhn",9
254,"Eine ganz liebe Freundin wurde wegen zweier Schlaganfälle in diese Klinik eingeliefert. Sie selbst und ihre Angehörigen haben eine Betreuung erfahren, von der man in anderen Kliniken in Deutschland nur träumen kann. Ob Ärzte oder Schwestern, alle hab || Das Personal auf der Station war wirklich klasse! Die medizinische Versorgung ebenso!^ Der Arzt in der Notaufnahme hatte massive Probleme mit der deutschen Sprache und nahm diverse Dinge somit falsch in die Akte auf. Das zeigte sich leider erst späte || Ich halte dieses Krankenhaus bzgl. Pflegekräften, Assistenzärzt:innen und Chirurgie für mehr als fähig. Handwerklich ist das Krankenhaus wirklich gut und obwohl viele sich wegen den ganzen ausländischen Ärzten aufregen, geben diese sich wirklich Mühe",10_arzt sprach_pflegenotstand_gesundheitssystem_krankenhäuser,"arzt sprach, pflegenotstand, gesundheitssystem, krankenhäuser, schlechteste krankenhaus, ärzte sprechen, krank, schlimmste krankenhaus, krankenhaus in, deutschen krankenhaus",10
245,"Dieses Krankenhaus kann ich nicht empfehlen. Zwischen dem Pflegepersonal und den Ärzten/Ärztinnen scheint es große Kommunikationsprobleme zu geben. Es sind alle höflich und scheinen sich Mühe zu geben aber dabei bleibt es. Keine genauen Auskünfte und || Würde den Arzt nicht weiter empfehlen, Trotz mehrere Diagnosen MS, ist der Arzt der Meinung das man psychisch Kranke sei, und Stationär behandelt werden soll, ohne Untersuchung ohne Befunde nur weil er einen angeschaut hat. Vorbefunde und Diagnosen i || Unfreundlicher geht es gar nicht... und man versteht teilweise das Personal und die Ärzte nicht.",11_patienten werden_der patienten_mit patienten_patienten und,"patienten werden, der patienten, mit patienten, patienten und, arzt der, arroganter arzt, arztbericht oder, pfleger pflegerinen, therapieangebote gibt, unfreundliche ärzte",11
234,Einmal und nie wieder! || Das AKH kann man in 3 Stichpunkten zusammen fassen: -fehlendes Fachwissen -Unfreundlichkeit -Desinteresse || Nie wieder.,12_dr bitte_empfehlen einfach_lassen notaufnahme_erfahrungen einfach,"dr bitte, empfehlen einfach, lassen notaufnahme, erfahrungen einfach, lästertanten, unverschämt und, bitte die, könnt gleich, frech sehr, lästertanten die",12
221,"Die Ärzte und das Pflegepersonal sind super nett || Von der Patientenaufnahme bis zum einchecken sehr professionell. OP durch Dr. Thielke (Knie) super. Dr Thielke informiert und erläutert sehr gut, die OP absolut professionell. Die Unterbringung auf Station 31 super, tolles Team schon gleich nach der  || Super organisiert, Aufklärungsgespräch sehr ausführlich - alle Fragen beantwortet. Eingriff problemlos verlaufen, Krankenhauspersonal ist professionell und freundlich.",13_tolle klinik_pflegepersonal sehr_gutes pflegepersonal_kompetente ärzte,"tolle klinik, pflegepersonal sehr, gutes pflegepersonal, kompetente ärzte, klinik sehr, pflegepersonal ist, gute klinik, sehr professionell, pflegepersonal sind, sehr nettes",13
189,"Mein Stiefvater 86 Jahre alt wurde mit starken Schmerzen mit dem Krankenwagen um 21.00 eingeliefert. In der Nacht um 1.30 wurde er trotz seiner starken Schmerzen und Benommenheit mit dem Taxi nach Hause geschickt, ohne die Angehörigen zu informieren, || Einfach nur begeistert. Ich musste mit meinen Vater in die Notaufnahme da er sich vor schmerzen in der Schulter nicht mehr bewegen konnte. Nach einer Stunden waren wir wieder zuhause. Die Schwestern und Pfleger waren einfach nur unfassbar nett und ko || Die Klinik ist das reinste Desaster. Die Hilferufe meines Vaters ihn während der Corona Pandemie dort rauszuholen, DA SICH NICHT UM IHN GEKÜMMERT wird, werden nun nach seinem Tod gnadenlos runter gespielt. Diese Klinik ist NICHT zu empfehlen. Rechtli",14_ihre klinik_prof majidi_wurde mit_wurde in,"ihre klinik, prof majidi, wurde mit, wurde in, hause gebracht, majidi, wurde mein, er in, meinem vater, meines vaters",14
178,"Mein Mann kam am 12.06. um 5 Uhr morgens nach einem Arbeitsunfall ins Krankenhaus. Obwohl seine rechte Hand stark blutete sollte er den Fragebogen selbst ausfüllen oder eben die linke Hand benutzen. Die Hand wurde nichtmal gereinigt und schon vor der || Meine Frau wurde nach einem Unfall in dieses Krankenhaus gebracht,ich hoffe nicht wieder.Bauzäune um den Eingang.den man suchen muss,Rollstuhlfahrer,die sich eine steile Auffahrt hochkämpfen,gar nicht an die Herrschaften mit Rolator gedacht?Zumachen  || Notaufnahme NICHT zu empfehlen,meine Frau ging gestern mit einer Einweisung vom Arzt in die Notaufnahme. Direkt am Empfang hieß es dann die werden sie eh nicht aufnehmen! Als meine Frau dann sagte gut dann Fahren wir nach Großburgwedel wurde sie zumi",15_katheter_meine freundin_man ihr_dann mal,"katheter, meine freundin, man ihr, dann mal, zur notaufnahme, dass meine, am nächsten, mit meiner, darauf hin, meiner frau",15
167,"Selbst ein stern ist zuviel,für dieses unkompitente krankenhaus, was leute mit schlag amfall stunden liegen läßt,oder tote tage lang im.zimmer liegen lässt, lassen das Reinigungs personal in die zimmer rein laufen wo tote drin liegen. Wenn dieses kra || Kein Ton beim Radio und Fernsehen || Röntgen: keine Möglichkeit zur Toilette zu gehen,auch nach mehrmaliger Ansprache des Personals ,ob es keine Toilette gebe , kam die sehr patzige Abtwort „ die Toilette ist abgeschlossen“. Das Essen ist eine Katastrophe. Bei Entlassung:4 Stunden Warte",16_vinzenzkrankenhaus_die hygienischen_hygienischen_hygiene,"vinzenzkrankenhaus, die hygienischen, hygienischen, hygiene, zur toilette, im badezimmer, nicht hygienisch, die toiletten, im zimmer, toilette ist",16
153,"Ich habe im Dezember 2022 eine Hüftprothese bekommen. Weil ich beruflich sehr eingespannt bin, habe ich mich für einen Termin kurz vor Weihnachten entschieden. Die Operation wurde von Prof. Dr. von Schulze Pellengahr durchgeführt. Bei der Voruntersuc || Hallo ich war vom 19.10.2020 bis zum 24.10.2020 dort Stationär . Ich habe dort im Krankenhaus ein neues Schultergelenk bekomme und muss sagen Top . OP ist sehr gut verlaufen ich konnte am Abend den Arm schon wieder leicht bewegen Top . Hätte ich nich || Ich möchte mal ein Lob an das Klinikum aussprechen...leider wird ja oft nur das negative erwähnt. Ich lag nach meiner Operation am Knie, durch das Gelenkzentrum Schaumburg, vom 21.- 26.09.2020 hier im Krankenhaus. Von der Aufnahme bis zur Entlassung ",17_klinikum lehrte_nachbehandlung_an dr_dr piatrou,"klinikum lehrte, nachbehandlung, an dr, dr piatrou, dr henkel, von dr, unfallchirurgie und, dr pietryga, operieren lassen, dr widow",17
145,"Anästhesie war gut, ansonsten ein furchtbares Klima. Egal wie schlecht das Gesundheitswesen, das Arbeitsklima, die Bezahlung, die Kommunikation zwischen den verschiedenen Diensten ist, bitte lasst das nicht an den Patienten aus. Ich meine es geht doc || Ich MS 5 Tage ich war da in ak Harburg war enttäuscht 5 Tage und sonst gelegen deswegen kriegen sie jetzt wenigstens auf der zwei verschiedene Ärztin war ich schon und deswegen bin ich enttäuscht war aber || Eine der schlimmsten Kliniken, die ich je erlebt habe. Ich wurde dort aufgrund der paradoxen Wirkung eines Medikaments, das mir ein Arzt verschrieben hatte, aufgenommen. Ich war völlig orientierungslos und wusste nicht mehr, was mit mir los …",18_dieser klinik_pflegern gegangen_dr lienkamp_herab behandelt,"dieser klinik, pflegern gegangen, dr lienkamp, herab behandelt, der pflege, in behandlung, meine diagnose, die neurochirurgie, krank, klinikum lilienthal",18
