count,example_snippets,name,top_terms,topic_id
3726,"Ein Freund von mir wurde heute, aufgrund akuter Kreislaufprobleme, in die Notaufnahme Bad Pyrmont leingeliefert. Ich erzähle seine Erfahrungen. Was absolut positiv auffiel. Fast keine Wartezeit. Nadel und Entnahme für das große Blutbild wurde von ein || Ich kam gestern als Notfall hier an, auf hohem fachlichen Niveau fand eine gründliche Sichtung ohne Hektik statt, danach ging es auf Station, saubere helle und angenehme Räume und überaus engagiertes Pflegepersonal die häufig nach mir sahen und fragt || Ich wurde auf Grund eines Fahrradunfalls in die Notaufnahme mit dem Unfallwagen gebracht. Diagnose Trümmerfraktur des Schlüsselbeins und 8 gebrochene Rippen. Mir wurden sofort Schmerzmittel verabreicht so das die anschließenden Untersuchungen für mic",-1_mit patienten_patienten mit_anderen patienten_klinik ist,"mit patienten, patienten mit, anderen patienten, klinik ist, der patient, ärztliche, arzt und, therapien, ultraschall, notaufnahme und",-1
1756,"Hallo zusammen. Ich befand mich jetzt eine Woche im BATHILDISKRANKENHAUS auf der Station 1, und fühlte mich sehr gut aufgehoben. Die Ärzte standen immer mit Rat und Hilfe einen zur Verfügung. Auch die Krankenschwestern waren immer zuvorkommend und hi || Ich war knapp eine Woche dort im Krankenhaus wegen einem schweren Bandscheibenvorfall. Das komplette Personal von Schwestern, Ärzten oder auch das Servicepersonal, alle waren super!! Ich konnte ein paar Tage nach der op nach Hause. Ich bin froh, dass || Ich bin an einen Samstagabend mit einem Rettungswagen in der Notaufnahme angekommen. Dort war ich schon sehr positiv überrascht, ob von den Ärzten als auch von den Krankenschwestern/Pflegern. Ich bin mit einer akuten Gallenkolik eingeliefert worden u",0_klinik ist_klinik nur_pfleger und_klinik und,"klinik ist, klinik nur, pfleger und, klinik und, die betreuung, frau dr, die therapeuten, sehr geholfen, therapien, hilfsbereit und",0
491,"Bin seit Donnerstag morgen hier - heute ist Sonntag. Wurde vom Hausarzt eingewiesen mit akutem Hexenschuss und (!) unklarem akuten Abdomen. Das ganze als chronischer Schmerz patient. Der aufnehmende Arzt hatte große Probleme mich und mein Problem zu  || Sehr nettes Personal. Mein Freund hatte sich mit einer Flex in den Finger geschnitten. Es war sehr tief und blutete wie sau. Schwester kam sofort und hat uns tapfer gebracht. Er saß wenn überhaupt 10 Minuten und kam dann dran. Es wurde alles gemacht  || Am liebsten -5 Sterne. Wieso? Ich musste leider durch Überweisung meines Hausarztes vor drei Jahren in dieses Kh wegen Blinddarm, wurde wieder weg geschickt mit den Worten kommen sie morgen um 8 Uhr wieder sollten die schmerzen schlimmer werden komme",1_notaufnahme gekommen_zum hausarzt_mein hausarzt_meinem hausarzt,"notaufnahme gekommen, zum hausarzt, mein hausarzt, meinem hausarzt, notaufnahme war, zur notaufnahme, schmerzmittel bekommen, am samstag, unter schmerzen, war gestern",1
421,"Mein Kind 12 Jahre alt. Würde mit Blinddarm eingeliefert . Weil Höxter voll war leider. Wir haben seid ihrer OP mit keinem Arzt gesprochen. Hätte ich nicht zufällig mit meiner Tochter telefoniert wüsste ich nicht Mal was von einer OP. Haben nur mit d || Sehr unfreundlich Mitarbeiterinnen. 4,5 Stunden gewartet am Ende würde das Kind nicht untersucht. Kamm der rede das Kind sieht mental Gut aus, obwohl Sie schmerzen hatte. Ich hoffe das der Besitzer des Krankenhauses sich irgendwann mal das ganze Bewe || Mein Sohn war letzte Nacht in der Notaufnahme. Sah nach einer sehr ausgeprägten Nagelbettentzündung aus. Erst als mein Sohn sehr starke Schmerzen hat, hat er es uns mitgeteilt. Es wurden Antibiotika und Schmerzmittel verschrieben und wir wurden nach ",2_kinderklinik_der kinderklinik_zum kinderarzt_kinderarzt,"kinderklinik, der kinderklinik, zum kinderarzt, kinderarzt, fieber hatte, grad fieber, bauchschmerzen, fieber und, fieber, verletzung",2
311,"Für die Notaufnahme vergebe ich 1 Stern für den Arzt der war echt in Ordnung. Wehdem du musst am Wochenende dort in die Notaufnahme......Dann bekommt man es mit Patzigen und sehr Unfreundlichen Krankenschwestern dort zutun. Später dann auf der Statio || Die Krankenschwestern waren Total in Ordnung Die Ärzte leider nicht in diesem Krankenhaus spricht kein Arzt mit dem anderen ,so läuft vieles daneben .Übrigens sind die Sterne nur für das Pflegepersonal. Wenn ich mich daran erinnere das ich Heute über || Leider nicht möglich weniger als 1 Stern zu geben. Um 14.45 Uhr mit Rettungswagen in die Notaufnahme gekommen. Nach etwa 45 Minuten Blutabnahme Weitere halbe Stunde später EKG. Nur Tropf bekommen 1 Schwester für die Patienten in der Notaufnahme da. E",3_der sanitäter_kein arzt_unfreundliche krankenschwester_krankenhaus nennen,"der sanitäter, kein arzt, unfreundliche krankenschwester, krankenhaus nennen, sanitäter, zentrale notaufnahme, stern verdient, aber leider, stern vergeben, leider sind",3
273,"Was auffällig war, dass innerhalb der Belegschaft eine durchaus positive Stimmung herrschte. Es wurde gelacht und gescherzt. Diese Stimmung überträgt sich auf den Patienten für den sich auch Zeit genommen wird. Das Personal lässt sich auch nicht von  || Einige Arbeitende hatten überhaupt kein verständnis das meine schwangere Freundin Hypermenesis hat ihr würde jeden Tag vor geworfen, das die ja nur da ist um Aufmerksamkeit und Medikamente zu bekommen... Abgesehen davon meinte eine Ärztin, das sie si || Dieses Krankenhaus kann ich nicht empfehlen. Zwischen dem Pflegepersonal und den Ärzten/Ärztinnen scheint es große Kommunikationsprobleme zu geben. Es sind alle höflich und scheinen sich Mühe zu geben aber dabei bleibt es. Keine genauen Auskünfte und",4_des patienten_patienten werden_mit patienten_patient ist,"des patienten, patienten werden, mit patienten, patient ist, der patient, klinik arbeiten, pfleger sind, pfleger mit, gute ärzte, einer ärztin",4
250,Einmal und nie wieder! || Das AKH kann man in 3 Stichpunkten zusammen fassen: -fehlendes Fachwissen -Unfreundlichkeit -Desinteresse || Haben alles verkackt,5_kaumtherapien_auch froh_sagen positiv_viel gutes,"kaumtherapien, auch froh, sagen positiv, viel gutes, gut zum, gespräche kaumtherapien, kaumtherapien kann, ggf gut, die geben, unglaublich tolle",5
239,"5 Jahre hat es gedauert, bis ich diesen Beitrag nun schreibe. Nicht zuletzt aus Gründen der Strafverfolgung, verzichte ich auf Namen. Meine Mutter war wegen Schmerzen im Arm in der Notaufnahme. Dann fiel sie (dort!) um, erlitt einen Herzinfarkt und w || Was ist das bitte für ein Krankenhaus? Familienmitglied wurde mit 3.0 Promille bei Alkoholerkrankung mit dem Rettungswagen eingeliefert und dann entlassen, ohne dass die Angehörigen darüber informiert wurden? Lediglich ein anruf mit der Info, dass ei || Ich hab gestern meine Schwiegermutter 80 . in die Notaufnahme gebracht mit einer Einweisung und dem Verdacht eines Schlaganfalls Auf der Einweisung stand extra Patient , benötigt Begleitung Darauf wurde nicht eingegangen Ich habe 5 Stunden im Eingang",6_patientenverfügung_der pfleger_pflegeheim_mutter hatte,"patientenverfügung, der pfleger, pflegeheim, mutter hatte, entlassmanagement, der einlieferung, schlaganfall, einlieferung, mutter war, jährige mutter",6
236,"Finde es ganz schlimm das man so in einem Krankenhaus behandelt wird!! Das sie Insolvent sind wird wohl nicht einfach so kommen sondern weil man so nicht mit menschen umgehen kann! 4 Termine 3 mal davon wurde ich nur respektlos angemacht !! Ich warte || Dieses Krankenhaus sollte geschlossen werden nur unhöfliche leute sind da drine || Die Ärzte reden unverschämt mit einem,und sind nicht höflich,meine Tochter hatte Schmerzen und ich bin da hin gegangen,dann hat eine Ärztin zu mir gesagt das es kein Grund ist zur Notaufnahme zu gehen und es war nachts wohin sollte ich meine Tochter ",7_schlechteste klinik_legen_krankenhaus auf_krankenhaus überhaupt,"schlechteste klinik, legen, krankenhaus auf, krankenhaus überhaupt, krankenhäuser die, arzt sucht, krankenhaus unfreundlich, krankenhaus hat, krankenhaus wenn, krankenhaus das",7
231,"Eine ganz liebe Freundin wurde wegen zweier Schlaganfälle in diese Klinik eingeliefert. Sie selbst und ihre Angehörigen haben eine Betreuung erfahren, von der man in anderen Kliniken in Deutschland nur träumen kann. Ob Ärzte oder Schwestern, alle hab || Das Personal auf der Station war wirklich klasse! Die medizinische Versorgung ebenso!^ Der Arzt in der Notaufnahme hatte massive Probleme mit der deutschen Sprache und nahm diverse Dinge somit falsch in die Akte auf. Das zeigte sich leider erst späte || Lag auf Station 1 im Rahmen einer Nierensteinbehandlung durch den sehr guten Belegarzt Dr. Wulff (samt Team). Die ganze Schwestern und Pfleger waren immer freundlich, haben ein offenes Ohr für einen, sind zügig im Zimmer wenn jemand Schmerzen hat ode",8_arzt sprach_klinik in_notaufnahme sind_pflegenotstand,"arzt sprach, klinik in, notaufnahme sind, pflegenotstand, ärzte sprechen, behandeln zu, krank sein, bundeswehrkrankenhaus, krankenhäuser in, ärzte können",8
