count,example_snippets,name,top_terms,topic_id
9140,"Sehr gute Erfahrung in der Notaufnahme Ich war gestern in der Notaufnahme des Diakoniekrankenhauses und habe mich dort … || Ein riesengroßes DANKE an das fantastische Team der Station 9 im Agaplesion Diakonie Klinikum! 😄 Nicht nur die Schwestern und Pflegekräfte, sondern auch die Chirurgen verdienen … || Herzlichen Dank an das gesamte Team, Ärzte und Pflegepersonal der Stadion 12. Alle sehr sehr nett und freundlich, kompetent und hilfsbereit. Hier werden auch mal Konservative Methoden vorgeschlagen und durchgeführt, und …",-1_als patient_den patienten_im klinikum_diese klinik,"als patient, den patienten, im klinikum, diese klinik, der arzt, gut betreut, ärzte waren, frau dr, medizinische, von dr",-1
890,"Wir hatten zur Geburt unserers Kindes einen angemessenen Aufenthalt. Es gab Umstände die jedoch für mich nicht Wertbar sind da ich nicht genug Hintergründe kenne. Die Bisichrigungs Termin sind schwer zu empfehlen und es gibt vieles dazu … || Ein herzliches Dankeschön an Hebamme Wencke Schättiger im Krankenhaus Kreißsaal in Rotenburg. In den schwierigen Momenten meiner Geburt nach Mitternacht waren Sie für mich … || Wir haben uns im Agaplesion Klinikum Schaumburg, sowohl im Kreißsaal als auch auf der Station, rundum wohl und bestens aufgehoben gefühlt. Die Schwestern auf der Station sind unglaublich lieb, herzlich und jederzeit hilfsbereit – man fühlt sich ernst",0_geburtshilfe_im kreissaal_welt gebracht_der wochenbettstation,"geburtshilfe, im kreissaal, welt gebracht, der wochenbettstation, im kreißsaal, gebracht, hebammen waren, kreissaal, zur geburt, während der",0
477,Ich möchte meinen aufrichtigen Dank für die hervorragende Betreuung während meines Aufenthalts in Ihrem Krankenhaus nach meiner Wirbelsäulenoperation aussprechen. … || Sehr freundliche Station 4. Tolle Schwestern und Ärzte und einen besonderen Dank an Dr. Meise || Ein herzliches Dankeschön an die Unfallchirurgie.Meine Op ist sehr gut verlaufen kann dieses Krankenhaus nur weiter empfehlen.,1_dr med_herrn dr_an dr_bei dr,"dr med, herrn dr, an dr, bei dr, von dr, frau dr, medizinische, betreuung während, hospitals, dr di",1
412,"Ich war vor 7 Monaten in der Notaufnahme und wurde dort sehr gut aufgenommen. Ich hatte mir 2 Finger geklemmt. Dieses wurde von Dr. Rahmati behandelt. Er hat meine Finger wieder so zusammengenäht, inclusive Nagelbett wieder herstellen, dass … || Ich bin an einem Sonntag in die Notaufnahme gekommen. Ein Fall für die Handchirurgie. Ich habe mich von dem ersten Moment an gut aufgehoben gefühlt. … || DANKE ! 2.12.2024 über den Hausarzt mit Wartezeit in die Notaufnahme. ( Triage, weil sehr voll ) bis …",2_notaufnahme gekommen_der arzt_hausarzt_musste ich,"notaufnahme gekommen, der arzt, hausarzt, musste ich, hatte ich, ich musste, die notaufnahme, schmerzmittel, die wunde, wurde mit",2
374,"Das beste ( aus meiner Sicht gesehen) Krankenhaus hier in der Umgebung. Das Pflegepersonal ist sehr fürsorglich cool, Ärzte sind auch kompetent, die Essensdamen sind alle total gut drauf und und und.. Ich bin oft in diesem Krankenhaus stationär und k || Meine Frau war da drei Tage wegen MS und ist alles gut gelaufen das ist die beste Krankenhaus in Bad Pyrmont || Bestes Krankenhaus",3_hospital_allgemeinkrankenhaus_kompetentes krankenhaus_ausgezeichnetes krankenhaus,"hospital, allgemeinkrankenhaus, kompetentes krankenhaus, ausgezeichnetes krankenhaus, gepflegtes krankenhaus, ausgestattetes krankenhaus, gute ärzte, krankenhaus gutes, gutes krankenhaus, gut krankenhaus",3
350,"Einfach ein super Krankenhaus. Ich bin mit einem massiven Bandscheiben Vorfall über die Notaufnahme gekommen und wurde gleich stationär aufgenommen. Das ganze Team von der Notaufnahme, Anästhesisten, Ärzten, Schwestern und Serviceteam ist super nett  || Ich war heute wegen einen Sturz in der Notaufnahme. Ich kann nur sagen, alle dort sehr freundlich und kompetent. Vielen Dank für die tolle Behandlung. || Man fühlt sich dort wohl und gut aufgehoben! Ein großes Lob und Dank an das Team der Notaufnahme!",4_hno ambulanz_ambulanz schon_der ambulanz_gute notaufnahme,"hno ambulanz, ambulanz schon, der ambulanz, gute notaufnahme, ambulanz, notaufnahme freundliches, der notfallambulanz, notaufnahme danke, notfallambulanz sehr, schnell behandelt",4
322,"Am Wochenende musste ich mit meinen 1,5 jährigen Sohn in die Notaufnahme wegen einer kleinen Platzwunde. Von Anmeldung bis zum Abschluss der Behandlung sind keine 30 min. vergangen. Sicherlich hatten wir Glück, dass nicht so viel los war, … || War zur teilstationären Diagnostik mit meinem Sohn auf der Station 63 und muss sagen: ein MEGA Team. Super liebe Mitarbeiter, sehr herzlich gestaltet- mein Sohn hat sich sehr wohlgefühlt und wollte gar nicht mehr weg. Tausend Dank für Alles 💓 … || Wir waren mit unserem Sohn (4) da, das Personal war hilfsbereit und haben uns geholfen. Danke dafür!",5_hno ambulanz_der arzt_der kinderklinik_kinderklinik,"hno ambulanz, der arzt, der kinderklinik, kinderklinik, die notaufnahme, die ärztin, dank wir, waren mit, waren am, sohn hatte",5
299,"Super nette, profisionelle und verantwortungsbewusste Personal! || Man fühlt sich gut aufgehoben. Personal ist sehr nett und freundlich. || Mit Wartezeit ist zu rechnen...👎''ZAO'' Aber gute Arbeit und nettes Personal...😷 …",6_geduldiges_geduldiges personal_hervorragender service_behandelung,"geduldiges, geduldiges personal, hervorragender service, behandelung, sehr kompetentes, hilfsbereit personal, guter service, wirklich hilfsbereit, höfliches personal, und kompetentes",6
241,"Meine Oma wurde in die Notaufnahme eingeliefert, und sie war sehr zufrieden. Alle Schwestern, Ärzte und vorallem Dr. Hilal waren sehr nett und hilfsbereit. || Meine Mutter war für knapp eine Woche auf der Kardiologie, und ich muss wirklich sagen, die Versorgung und Betreuung war erstklassig! Von der Notaufnahme schnell ins Zimmer gekommen, und es wurde sich sehr sehr gut um meine Mutter gekümmert. Stations || Meine Mutter wurde mit dem Verdacht auf einen Schlaganfall in die Neurologie eingeliefert und umfassend untersucht. Die Schwestern und Pfleger und auch der Sozialdienst haben sich sehr liebevoll und kompetent um meine Mutter gekümmert. Ich wohne weit",7_pflegern_betreuung meiner_sehr dankbar_intensivstation,"pflegern, betreuung meiner, sehr dankbar, intensivstation, mutter bedanken, der intensivstation, danke meine, dank meine, schlaganfall, diagnose und",7
237,"Ich war in ambulanter Behandlung dort. Habe mich vom ersten Eindruck her sehr wohl gefühlt, kleines Krankenhaus, alle hatten augenscheinlich gut zu tun und waren trotzdem hilfsbereit und nett. Mein Termin konnte eingehalten werden und die Behandlung  || Ich habe mich sehr gut aufgehoben gefühlt und mir wurde super geholfen, ich würde mich definitiv wieder dort in Behandlung begeben wenn mir etwas fehlt, das Pflegepersonal hat einen super Job gemacht regelmäßig da und immer freundlich! Und das bei de || Jede Station ist sicher etwas anders zu bewerten. Ich war in der 4. Etage im QE und ich und meine Mitpatienten hatten nicht wirklich was zu meckern. Sicher, ich hatte auch gute Mitpatienten, wodurch es noch positiver wurde. Es gibt kompetente ärztlic",8_mitpatienten_der tagesklinik_tagesklinik_diese klinik,"mitpatienten, der tagesklinik, tagesklinik, diese klinik, klinik ist, klinik und, therapeuten waren, therapeuten innen, den therapeuten, und therapeuten",8
228,"Ein riesiger Vorteil und eine große Erleichterung war, dass es eine Ärztin gab, die Albanisch sprach. Meine Mutter hat kaum Deutschkenntnisse, und die Möglichkeit, in ihrer Muttersprache mit einem Arzt zu sprechen, war entscheidend, da sie die Möglic || Ich war nun schon zweimal in dieser Klinik. Bei beiden unterschiedlichen Notsituationen wurde uns immer freundlich, kompetent und schnell geholfen. Ich bin froh das wir so ein Klinikum in der Nähe haben und nicht erst nach Hannover müssen. Nur EC Ger || Wer nicht nach Hannover fahren möchte und das Sana Klinikum in Hameln verständlicher Weise meiden möchte, empfehle ich und meine Frau dieses Krankenhaus. Sehr diskret und einfühlsam in Bezug auf empfindliche Diagnosen und Behandlungen. Man hat hier n",9_die patienten_medizinische personal_im bundeswehrkrankenhaus_das bundeswehrkrankenhaus,"die patienten, medizinische personal, im bundeswehrkrankenhaus, das bundeswehrkrankenhaus, uniklinik, klinik in, medizinische, bundeswehrkrankenhaus, gesundheitsversorgung, uniklinik göttingen",9
226,"Meine erste OP, meine erste Erfahrung. Ich bin positiv beeindruckt das es Menschen in diesen Bereichen mit solch einer tollen und guten Laune, mit soviel Freude und Sympathie arbeiten. Ich fühlte mich ab Minute 1 super aufgehoben und in guten Händen. || Ich habe hier im Oktober Entbindung gehabt und bin sehr zufrieden. Alle waren super freundlich und nett ! Ich habe mich richtig wohl gefühlt. || Ich musste zum Gelenkzentrum. Bis jetzt alles super Top 👍. Egal welches Personal alles suuuper freundlich und nett . Man fühlt sich gut aufgehoben …",10_mitarbeiter ärzte_fachpersonal ich_geholfen alle_dort geholfen,"mitarbeiter ärzte, fachpersonal ich, geholfen alle, dort geholfen, behandelt worden, behandelt sehr, gut geholfen, aufgehoben bin, kompetent habe, geholfen danke",10
204,"Ich kann nur positives sagen, mein Papa war im Krankenhaus und ich habe noch nie so nettes Personal in einer Klinik gesehen. Wir haben immer super Auskunft bekommen. Wenn ich 8 Sterne geben könnte würde ich das tun ☺️ Danke für alles 🙏 … || Nach Sturz mit dem Fahrrad hat mein Mann sich heute in der Notaufnahme vorgestellt, geröngt, Ultraschall, EKG, alles wichtige abgeklärt, sehr freundliches Personal , vielen Dank || Menschlichkeit, Freundlichkeit und Empathie sind kein Job aber dafür vielen Dank der Intensivstation und Dr. Eickmeyer!!!",11_die patienten_danken_gerettet_intensivstation ist,"die patienten, danken, gerettet, intensivstation ist, die intensivstation, koma, intensivstation, der intensivstation, gut er, mann musste",11
201,"Ich habe in dieser Klinik entbunden und bin sehr dankbar für die liebevolle und professionelle Betreuung, die ich dort erfahren habe. … || Fühle mich rundherum bestens aufgehoben im Badhildeskrankenhaus. Super Mitarbeiter*innen, fachlich voll auf der Höhe der Zeit und eine super freundliche emphatische Anästhesie da habe ich vollstes Vertrauen. War wegen Nierensteinen da, Dr.Ahmad Omran || Ich wurde super beraten,behandelt und aufgenommen. Alle leisten super Arbeit. Alles in allem einfach ein tolles Team und ein tolles Krankenhaus!",12_chefarzt waren_pflegepersonal habe_diese klinik_arzt dr,"chefarzt waren, pflegepersonal habe, diese klinik, arzt dr, kompetente ärzte, dieser klinik, und pflegepersonal, chefarzt, freundliche ärzte, anderen ärzte",12
178,"Es waren alle sehr freundlich. Die Wartezeiten waren OK. Das Essen war gut! || Alle super nett und lieb , wurde schnell operiert und das essen ist auch gut grus an station o22 || Sehr freundliches Personal, gute Behandlung. Punktabzug fürs Mittagessen. 🙄 Zimmer aber ok. …",13_zu mittag_mittag_besuchen bei_dem gelände,"zu mittag, mittag, besuchen bei, dem gelände, herr regenbrecht, service, zimmer sehr, auch angeboten, hoch sehr, personal gutes",13
162,"Nach einer Notaufnahme am Sonntag, den 6. April 2025 wegen verstopften Katheter in der Urologie im Klinikum Schaumburg gewesen. Mein Dank für die professionelle Behandlung durch die Oberärztin Galina Ross der Urologie und ihrem Team. Konnte nach erfo || Ich war Patient in der Urologie. Schade das es keine 10 Sterne gibt! Das Pflegepersonal ist sehr nett und zuvorkommend. Die Ärzte Super.Bin hervorragend aufgeklärt worden über die Op. Alles lief auch sehr gut.Alle sehr Freundlich obwohl alle Mitarbei || Bestes Krankenhaus! Urologie ist super sehr zu empfehlen. Dort arbeiten noch Schwestern, Ärzte und Personal denen der Patient wichtig ist. Alle sind freundlich und jederzeit Hilfsbereit. Wenn man schon krank ist kann man froh sein wenn man dort lande",14_im borromäushospital_patient wichtig_borromäushospital_und ärztlich,"im borromäushospital, patient wichtig, borromäushospital, und ärztlich, pflegerische, pflegerische versorgung, urologischen ambulanz, behandlung in, dr olianas, biopsie",14
160,"Ein herzliches Dankeschön an der Notaufnahme, Station 8 und 9 und ans OpTeam . Alle waren sehr kompetent und freundlich. Unsere Tochter fühlte sich gut aufgehoben. Ich kann das Krankenhaus nur empfehlen. Ich bin extra dankbar der Person, die mich in  || Meine 7jährige Tochter hatte ihre erste kleine OP und wurde wie eine Prinzessin behandelt. Dank des umsichtigen und freundlichen Personals wurde ihr die Angst vor dem Eingriff genommen und sie blickt nun auf diese Erfahrung stolz zurück. Ein besonder || Wir hatten ein Autounfall und wir sind zur Notaufnahme des Krankenhauses gefahren. Schwester Lana hat sich sehr gut um uns gekümmert und Gott sei Dank ist uns nichts schlimmeres passiert als gedacht.Vielen Dank noch mal für die mentale Unterstützung ",15_notaufnahme gewesen_dank wir_wurden sehr_tochter hatte,"notaufnahme gewesen, dank wir, wurden sehr, tochter hatte, unterstützt hat, waren mit, uns gut, tochter wurde, tochter war, war wurden",15
