count,example_snippets,name,top_terms,topic_id
9942,"Sehr gute Erfahrung in der Notaufnahme Ich war gestern in der Notaufnahme des Diakoniekrankenhauses und habe mich dort … || Ein riesengroßes DANKE an das fantastische Team der Station 9 im Agaplesion Diakonie Klinikum! 😄 Nicht nur die Schwestern und Pflegekräfte, sondern auch die Chirurgen verdienen … || DANKE ! 2.12.2024 über den Hausarzt mit Wartezeit in die Notaufnahme. ( Triage, weil sehr voll ) bis …",-1_und_ich_die_der,"und, ich, die, der, sehr, das, war, in, auch, ist, mich, gut",-1
884,"Wir hatten zur Geburt unserers Kindes einen angemessenen Aufenthalt. Es gab Umstände die jedoch für mich nicht Wertbar sind da ich nicht genug Hintergründe kenne. Die Bisichrigungs Termin sind schwer zu empfehlen und es gibt vieles dazu … || Ein herzliches Dankeschön an Hebamme Wencke Schättiger im Krankenhaus Kreißsaal in Rotenburg. In den schwierigen Momenten meiner Geburt nach Mitternacht waren Sie für mich … || Wir haben uns im Agaplesion Klinikum Schaumburg, sowohl im Kreißsaal als auch auf der Station, rundum wohl und bestens aufgehoben gefühlt. Die Schwestern auf der Station sind unglaublich lieb, herzlich und jederzeit hilfsbereit – man fühlt sich ernst",0_geburt_hebammen_wir_uns,"geburt, hebammen, wir, uns, kreißsaal, und, welt, die, im, haben, hebamme, zur",0
434,Ich möchte meinen aufrichtigen Dank für die hervorragende Betreuung während meines Aufenthalts in Ihrem Krankenhaus nach meiner Wirbelsäulenoperation aussprechen. … || Ein herzliches Dankeschön an die Unfallchirurgie.Meine Op ist sehr gut verlaufen kann dieses Krankenhaus nur weiter empfehlen. || Vielen Dank an das Ärzteteam und die lieben Schwestern. Ihr habt das sehr gut gemacht,1_möchte_dr_dank_für,"möchte, dr, dank, für, bedanken, an, mich, team, und, bei, ich, die",1
415,"Ich war vor 7 Monaten in der Notaufnahme und wurde dort sehr gut aufgenommen. Ich hatte mir 2 Finger geklemmt. Dieses wurde von Dr. Rahmati behandelt. Er hat meine Finger wieder so zusammengenäht, inclusive Nagelbett wieder herstellen, dass … || Ich bin an einem Sonntag in die Notaufnahme gekommen. Ein Fall für die Handchirurgie. Ich habe mich von dem ersten Moment an gut aufgehoben gefühlt. … || Ich wurde von meinem Hausarzt auf einem Montag, nach schon langer Schmerzzeit hergeschickt. Bandscheibenvorfall LWS mit Nerven im linken Bein. Ich musste in der Aufnahme ca. eine Stunde warten. Gute Aufklärung, Abklärung und Beratung wie …",2_ich_notaufnahme_wurde_der,"ich, notaufnahme, wurde, der, in, war, nach, die, am, und, es, mir",2
388,Meine Frau war da drei Tage wegen MS und ist alles gut gelaufen das ist die beste Krankenhaus in Bad Pyrmont || Bestes Krankenhaus || Die Spezialität dieses Krankenhauses,3_krankenhaus_gutes_sehr_ein,"krankenhaus, gutes, sehr, ein, personal, ist, schönes, sind, super, und, ärzte, nettes",3
346,"Am Wochenende musste ich mit meinen 1,5 jährigen Sohn in die Notaufnahme wegen einer kleinen Platzwunde. Von Anmeldung bis zum Abschluss der Behandlung sind keine 30 min. vergangen. Sicherlich hatten wir Glück, dass nicht so viel los war, … || War zur teilstationären Diagnostik mit meinem Sohn auf der Station 63 und muss sagen: ein MEGA Team. Super liebe Mitarbeiter, sehr herzlich gestaltet- mein Sohn hat sich sehr wohlgefühlt und wollte gar nicht mehr weg. Tausend Dank für Alles 💓 … || Wir waren mit unserem Sohn (4) da, das Personal war hilfsbereit und haben uns geholfen. Danke dafür!",4_sohn_wir_uns_mit,"sohn, wir, uns, mit, waren, mein, und, unserem, der, die, meinem, wurden",4
316,"Herzlichen Dank an das gesamte Team, Ärzte und Pflegepersonal der Stadion 12. Alle sehr sehr nett und freundlich, kompetent und hilfsbereit. Hier werden auch mal Konservative Methoden vorgeschlagen und durchgeführt, und … || Das ganze Personal super Nett 👌 die Schwestern alle total freundlich und auch das OP Team einfach Klasse 👍👍 da kann sich so manches KH eine Scheibe von abschneiden … || Station 2, Zimmer 231. Vielen Dank! Lieben Dank.",5_team_station_super_tolles,"team, station, super, tolles, an, sehr, das, dank, top, nett, danke, gut",5
298,"Die Ärzte und das Pflegepersonal sind super nett || Impfung hat einwandfrei geklappt gut organisiert freundliches Personal || Super sympathisch,sehr kompetente Ärzte helle freundliche Ambiente",6_ärzte_personal_sehr_nettes,"ärzte, personal, sehr, nettes, gute, freundliches, pflegepersonal, kompetente, super, nette, sind, und",6
294,"Super nette, profisionelle und verantwortungsbewusste Personal! || Man fühlt sich gut aufgehoben. Personal ist sehr nett und freundlich. || Mit Wartezeit ist zu rechnen...👎''ZAO'' Aber gute Arbeit und nettes Personal...😷 …",7_personal_nettes_freundliches_sehr,"personal, nettes, freundliches, sehr, mitarbeiter, kompetentes, nette, freundlich, super, gute, hilfsbereit, und",7
283,"Eine ganz liebe Freundin wurde wegen zweier Schlaganfälle in diese Klinik eingeliefert. Sie selbst und ihre Angehörigen haben eine Betreuung erfahren, von der man in anderen Kliniken in Deutschland nur träumen kann. Ob Ärzte oder Schwestern, alle hab || Meine Oma wurde in die Notaufnahme eingeliefert, und sie war sehr zufrieden. Alle Schwestern, Ärzte und vorallem Dr. Hilal waren sehr nett und hilfsbereit. || Meine Mutter war für knapp eine Woche auf der Kardiologie, und ich muss wirklich sagen, die Versorgung und Betreuung war erstklassig! Von der Notaufnahme schnell ins Zimmer gekommen, und es wurde sich sehr sehr gut um meine Mutter gekümmert. Stations",8_mutter_meine_sie_wir,"mutter, meine, sie, wir, und, wurde, die, uns, sehr, in, meiner, der",8
246,"Man fühlt sich dort wohl und gut aufgehoben! Ein großes Lob und Dank an das Team der Notaufnahme! || Ich musste kürzlich die Notaufnahme des Klinikums in Anspruch nehmen. Selten habe ich mich in einer Notaufnahme so gut aufgehoben gefühlt wie hier. Um mein Anliegen wurde sich umgehend und professionell gekümmert. Das gesamte Team hat trotz viel Arbe || Ich war gestern in der Notaufnahme. Fürsorglich, Nett, Kompetenz gut. Freundlich. Hilfsbereit. Danke für die schnelle und gute Behandlung.",9_notaufnahme_in_der_schnelle,"notaufnahme, in, der, schnelle, freundlich, sehr, personal, notfall, dank, schnell, und, danke",9
243,"Ein herzliches Dankeschön an der Notaufnahme, Station 8 und 9 und ans OpTeam . Alle waren sehr kompetent und freundlich. Unsere Tochter fühlte sich gut aufgehoben. Ich kann das Krankenhaus nur empfehlen. Ich bin extra dankbar der Person, die mich in  || Meine 7jährige Tochter hatte ihre erste kleine OP und wurde wie eine Prinzessin behandelt. Dank des umsichtigen und freundlichen Personals wurde ihr die Angst vor dem Eingriff genommen und sie blickt nun auf diese Erfahrung stolz zurück. Ein besonder || Wir hatten ein Autounfall und wir sind zur Notaufnahme des Krankenhauses gefahren. Schwester Lana hat sich sehr gut um uns gekümmert und Gott sei Dank ist uns nichts schlimmeres passiert als gedacht.Vielen Dank noch mal für die mentale Unterstützung ",10_tochter_wir_uns_unsere,"tochter, wir, uns, unsere, waren, unserer, meine, mit, und, meiner, wurden, sie",10
230,"Ein riesiger Vorteil und eine große Erleichterung war, dass es eine Ärztin gab, die Albanisch sprach. Meine Mutter hat kaum Deutschkenntnisse, und die Möglichkeit, in ihrer Muttersprache mit einem Arzt zu sprechen, war entscheidend, da sie die Möglic || Ich war nun schon zweimal in dieser Klinik. Bei beiden unterschiedlichen Notsituationen wurde uns immer freundlich, kompetent und schnell geholfen. Ich bin froh das wir so ein Klinikum in der Nähe haben und nicht erst nach Hannover müssen. Nur EC Ger || Wer nicht nach Hannover fahren möchte und das Sana Klinikum in Hameln verständlicher Weise meiden möchte, empfehle ich und meine Frau dieses Krankenhaus. Sehr diskret und einfühlsam in Bezug auf empfindliche Diagnosen und Behandlungen. Man hat hier n",11_hannover_in_deutschland_krankenhaus,"hannover, in, deutschland, krankenhaus, hamburg, das, und, ich, deutsch, ist, die, der",11
204,"Jede Station ist sicher etwas anders zu bewerten. Ich war in der 4. Etage im QE und ich und meine Mitpatienten hatten nicht wirklich was zu meckern. Sicher, ich hatte auch gute Mitpatienten, wodurch es noch positiver wurde. Es gibt kompetente ärztlic || Ich war wegen starker Depression drei Monate stationär in der Klinik und zweieinhalb Monate in der Tagesklinik - und bin äußerst zufrieden mit dieser Einrichtung. Ärzte und Therapeuten sind untereinander sehr gut vernetzt, so dass jede:r … || Ich war auf der psychiatrischen Station H1 und kann nur Positives berichten. Die Therapie war wirklich top und hat mir sehr geholfen. …",12_therapeuten_ich_es_klinik,"therapeuten, ich, es, klinik, die, mir, zu, das, nicht, und, ist, man",12
