label_a,label_b,count
staff.empathy,staff.friendliness,8350
care.treatment,staff.friendliness,6695
care.competence,staff.friendliness,6060
care.treatment,staff.empathy,4762
care.competence,staff.empathy,4212
care.competence,care.treatment,3327
staff.friendliness,staff.respect,3265
staff.empathy,staff.respect,2647
environment.support,staff.friendliness,2437
care.competence,staff.respect,2045
environment.food,staff.friendliness,2019
environment.support,staff.empathy,1842
care.treatment,staff.respect,1757
care.treatment,environment.support,1485
communication.explanation,staff.friendliness,1386
staff.friendliness,staff.seriousness,1358
environment.facilities,staff.friendliness,1225
care.competence,environment.support,1166
care.treatment,environment.food,1126
coordination.coordination,staff.friendliness,1109
