group_key,group_label,rank,label,count
1,1★,1,care.treatment,3969
1,1★,2,staff.respect,3305
1,1★,3,staff.friendliness,3160
1,1★,4,access.waiting,2965
1,1★,5,care.competence,2350
1,1★,6,staff.seriousness,2203
1,1★,7,care.safety,2034
1,1★,8,staff.empathy,1932
2,2★,1,care.treatment,444
2,2★,2,staff.friendliness,342
2,2★,3,access.waiting,326
2,2★,4,staff.respect,296
2,2★,5,staff.seriousness,258
2,2★,6,coordination.coordination,243
2,2★,7,care.competence,228
2,2★,8,care.safety,228
3,3★,1,staff.friendliness,231
3,3★,2,access.waiting,215
3,3★,3,care.treatment,209
3,3★,4,environment.facilities,175
3,3★,5,staff.respect,169
3,3★,6,staff.seriousness,156
3,3★,7,coordination.coordination,140
3,3★,8,environment.food,135
4,4★,1,access.waiting,300
4,4★,2,environment.facilities,252
4,4★,3,environment.food,242
4,4★,4,staff.friendliness,164
4,4★,5,staff.seriousness,148
4,4★,6,care.treatment,147
4,4★,7,coordination.coordination,114
4,4★,8,staff.respect,86
5,5★,1,access.waiting,612
5,5★,2,environment.facilities,350
5,5★,3,environment.food,305
5,5★,4,staff.seriousness,249
5,5★,5,care.treatment,238
5,5★,6,staff.friendliness,182
5,5★,7,care.symptoms,150
5,5★,8,care.safety,149
,Unknown,1,staff.friendliness,9
,Unknown,2,staff.respect,7
,Unknown,3,staff.seriousness,6
,Unknown,4,care.treatment,6
,Unknown,5,care.competence,5
,Unknown,6,care.safety,4
,Unknown,7,environment.food,3
,Unknown,8,coordination.coordination,3
