group_key,group_label,rank,label,count
1,1★,1,staff.friendliness,1006
1,1★,2,care.treatment,360
1,1★,3,staff.empathy,345
1,1★,4,care.competence,245
1,1★,5,staff.respect,99
1,1★,6,access.waiting,95
1,1★,7,care.diagnosis,84
1,1★,8,environment.facilities,77
2,2★,1,staff.friendliness,472
2,2★,2,care.treatment,183
2,2★,3,staff.empathy,170
2,2★,4,care.competence,134
2,2★,5,environment.food,59
2,2★,6,environment.facilities,56
2,2★,7,staff.respect,47
2,2★,8,staff.seriousness,41
3,3★,1,staff.friendliness,558
3,3★,2,care.treatment,271
3,3★,3,staff.empathy,232
3,3★,4,care.competence,192
3,3★,5,environment.food,85
3,3★,6,staff.respect,69
3,3★,7,environment.facilities,61
3,3★,8,environment.support,54
4,4★,1,staff.friendliness,1584
4,4★,2,staff.empathy,789
4,4★,3,care.treatment,786
4,4★,4,care.competence,618
4,4★,5,staff.respect,307
4,4★,6,environment.food,306
4,4★,7,environment.facilities,218
4,4★,8,environment.support,215
5,5★,1,staff.friendliness,12068
5,5★,2,staff.empathy,8192
5,5★,3,care.treatment,7396
5,5★,4,care.competence,6207
5,5★,5,staff.respect,3164
5,5★,6,environment.support,2549
5,5★,7,environment.food,1756
5,5★,8,staff.seriousness,1468
,Unknown,1,staff.friendliness,35
,Unknown,2,care.treatment,18
,Unknown,3,care.competence,15
,Unknown,4,staff.empathy,14
,Unknown,5,environment.facilities,8
,Unknown,6,staff.respect,6
,Unknown,7,environment.support,6
,Unknown,8,environment.food,5
