problem_label,strength_label,count
staff.friendliness,staff.friendliness,1101
access.waiting,staff.friendliness,1088
care.treatment,staff.friendliness,929
staff.seriousness,staff.friendliness,788
staff.respect,staff.friendliness,784
environment.facilities,staff.friendliness,718
care.treatment,care.treatment,700
environment.food,staff.friendliness,688
access.waiting,care.treatment,548
staff.empathy,staff.friendliness,542
coordination.coordination,staff.friendliness,526
care.competence,staff.friendliness,489
care.safety,staff.friendliness,479
staff.seriousness,staff.empathy,475
access.waiting,staff.empathy,473
access.waiting,care.competence,458
communication.communication,staff.friendliness,418
care.treatment,staff.empathy,417
staff.empathy,staff.empathy,389
environment.facilities,staff.empathy,364
