label_a,label_b,count
staff.friendliness,staff.respect,1678
care.treatment,staff.respect,1402
care.competence,care.treatment,1359
care.safety,care.treatment,1258
staff.empathy,staff.friendliness,1256
staff.empathy,staff.respect,1220
care.treatment,staff.seriousness,1134
access.waiting,care.treatment,1113
care.diagnosis,care.treatment,1112
staff.respect,staff.seriousness,1053
care.treatment,staff.friendliness,1053
care.competence,staff.respect,922
care.competence,staff.seriousness,913
access.waiting,staff.friendliness,911
care.treatment,staff.empathy,910
care.competence,staff.friendliness,857
care.safety,staff.respect,806
staff.friendliness,staff.seriousness,789
care.symptoms,care.treatment,779
care.treatment,coordination.coordination,736
